recordTime,speed,lane
2016-09-08 15:44:40.000,0,1
2016-09-08 15:44:40.000,106,2
2016-09-08 15:44:40.000,0,3
2016-09-08 15:45:00.000,0,1
2016-09-08 15:45:00.000,112,2
2016-09-08 15:45:00.000,66,3
2016-09-08 15:45:20.000,65,1
2016-09-08 15:45:20.000,98,2
2016-09-08 15:45:20.000,67,3
2016-09-08 15:45:40.000,63,1
2016-09-08 15:45:40.000,-1,2
2016-09-08 15:45:40.000,64,3
2016-09-08 15:46:00.000,0,1
2016-09-08 15:46:00.000,169,2
2016-09-08 15:46:00.000,63,3
2016-09-08 15:46:20.000,63,1
2016-09-08 15:46:20.000,125,2
2016-09-08 15:46:20.000,63,3
2016-09-08 15:46:40.000,0,1
2016-09-08 15:46:40.000,133,2
2016-09-08 15:46:40.000,62,3
2016-09-08 15:47:00.000,59,1
2016-09-08 15:47:00.000,101,2
2016-09-08 15:47:00.000,60,3
2016-09-08 15:47:20.000,67,1
2016-09-08 15:47:20.000,18,2
2016-09-08 15:47:20.000,0,3
2016-09-08 15:47:40.000,67,1
2016-09-08 15:47:40.000,141,2
2016-09-08 15:47:40.000,65,3
2016-09-08 15:48:00.000,69,1
2016-09-08 15:48:00.000,143,2
2016-09-08 15:48:00.000,68,3
2016-09-08 15:48:20.000,0,1
2016-09-08 15:48:20.000,16,2
2016-09-08 15:48:20.000,70,3
2016-09-08 15:48:40.000,61,1
2016-09-08 15:48:40.000,56,2
2016-09-08 15:48:40.000,77,3
2016-09-08 15:49:00.000,67,1
2016-09-08 15:49:00.000,71,2
2016-09-08 15:49:00.000,60,3
2016-09-08 15:49:20.000,65,1
2016-09-08 15:49:20.000,110,2
2016-09-08 15:49:20.000,58,3
2016-09-08 15:49:40.000,0,1
2016-09-08 15:49:40.000,74,2
2016-09-08 15:49:40.000,63,3
2016-09-08 15:50:00.000,71,1
2016-09-08 15:50:00.000,29,2
2016-09-08 15:50:00.000,65,3
2016-09-08 15:50:20.000,66,1
2016-09-08 15:50:20.000,146,2
2016-09-08 15:50:20.000,0,3
2016-09-08 15:50:40.000,59,1
2016-09-08 15:50:40.000,123,2
2016-09-08 15:50:40.000,52,3
2016-09-08 15:51:00.000,63,1
2016-09-08 15:51:00.000,95,2
2016-09-08 15:51:00.000,71,3
2016-09-08 15:51:20.000,61,1
2016-09-08 15:51:20.000,88,2
2016-09-08 15:51:20.000,66,3
2016-09-08 15:51:40.000,0,1
2016-09-08 15:51:40.000,111,2
2016-09-08 15:51:40.000,67,3
2016-09-08 15:52:00.000,54,1
2016-09-08 15:52:00.000,88,2
2016-09-08 15:52:00.000,62,3
2016-09-08 15:52:20.000,75,1
2016-09-08 15:52:20.000,147,2
2016-09-08 15:52:20.000,66,3
2016-09-08 15:52:40.000,53,1
2016-09-08 15:52:40.000,108,2
2016-09-08 15:52:40.000,0,3
2016-09-08 15:53:00.000,65,1
2016-09-08 15:53:00.000,113,2
2016-09-08 15:53:00.000,68,3
2016-09-08 15:53:20.000,68,1
2016-09-08 15:53:20.000,0,2
2016-09-08 15:53:20.000,0,3
2016-09-08 15:53:40.000,70,1
2016-09-08 15:53:40.000,49,2
2016-09-08 15:53:40.000,68,3
2016-09-08 15:54:00.000,59,1
2016-09-08 15:54:00.000,0,2
2016-09-08 15:54:00.000,61,3
2016-09-08 15:54:20.000,71,1
2016-09-08 15:54:20.000,106,2
2016-09-08 15:54:20.000,61,3
2016-09-08 15:54:40.000,75,1
2016-09-08 15:54:40.000,0,2
2016-09-08 15:54:40.000,62,3
2016-09-08 15:55:00.000,0,1
2016-09-08 15:55:00.000,-233,2
2016-09-08 15:55:00.000,70,3
2016-09-08 15:55:20.000,62,1
2016-09-08 15:55:20.000,94,2
2016-09-08 15:55:20.000,72,3
2016-09-08 15:55:40.000,65,1
2016-09-08 15:55:40.000,49,2
2016-09-08 15:55:40.000,68,3
2016-09-08 15:56:00.000,0,1
2016-09-08 15:56:00.000,0,2
2016-09-08 15:56:00.000,63,3
2016-09-08 15:56:20.000,64,1
2016-09-08 15:56:20.000,47,2
2016-09-08 15:56:20.000,79,3
2016-09-08 15:56:40.000,76,1
2016-09-08 15:56:40.000,38,2
2016-09-08 15:56:40.000,76,3
2016-09-08 15:57:00.000,68,1
2016-09-08 15:57:00.000,112,2
2016-09-08 15:57:00.000,65,3
2016-09-08 15:57:20.000,54,1
2016-09-08 15:57:20.000,96,2
2016-09-08 15:57:20.000,72,3
2016-09-08 15:57:40.000,65,1
2016-09-08 15:57:40.000,123,2
2016-09-08 15:57:40.000,58,3
2016-09-08 15:58:00.000,0,1
2016-09-08 15:58:00.000,0,2
2016-09-08 15:58:00.000,0,3
2016-09-08 15:58:20.000,0,1
2016-09-08 15:58:20.000,0,2
2016-09-08 15:58:20.000,0,3
2016-09-08 15:58:40.000,56,1
2016-09-08 15:58:40.000,101,2
2016-09-08 15:58:40.000,65,3
2016-09-08 15:59:00.000,66,1
2016-09-08 15:59:00.000,82,2
2016-09-08 15:59:00.000,63,3
2016-09-08 15:59:20.000,0,1
2016-09-08 15:59:20.000,-213,2
2016-09-08 15:59:20.000,66,3
2016-09-08 15:59:40.000,0,1
2016-09-08 15:59:40.000,0,2
2016-09-08 15:59:40.000,74,3
2016-09-08 16:00:00.000,0,1
2016-09-08 16:00:00.000,57,2
2016-09-08 16:00:00.000,73,3
